frame,rep,angle,level,score
200,0,159.55576,GOOD,9
201,0,153.2497,GOOD,9
202,0,159.55489,GOOD,9
203,0,167.3724,GOOD,10
204,0,175.80505,GOOD,10
205,0,176.93217,GOOD,10
206,0,177.00487,GOOD,10
207,0,175.67645,GOOD,10
208,0,173.13092,GOOD,10
209,0,174.29755,GOOD,10
210,0,174.8361,GOOD,10
211,0,179.52269,GOOD,10
212,0,177.9384,GOOD,10
213,0,179.41853,GOOD,10
214,0,177.65411,GOOD,10
215,0,174.23563,GOOD,10
216,0,175.27109,GOOD,10
217,0,179.21944,GOOD,10
218,0,178.43228,GOOD,10
219,0,176.86494,GOOD,10
220,0,175.30397,GOOD,10
221,0,176.52855,GOOD,10
222,0,176.68297,GOOD,10
223,0,178.90346,GOOD,10
224,0,177.64821,GOOD,10
225,0,177.02051,GOOD,10
226,0,172.30086,GOOD,10
227,0,161.97873,GOOD,10
228,0,153.95924,GOOD,9
229,0,148.77316,GOOD,9
230,0,151.87779,GOOD,9
231,0,151.12993,GOOD,9
232,0,154.0577,GOOD,9
233,0,169.87497,GOOD,10
234,0,172.06784,GOOD,10
235,0,174.01564,GOOD,10
236,0,173.36215,GOOD,10
237,0,173.13571,GOOD,10
238,0,170.8303,GOOD,10
239,0,170.99173,GOOD,10
240,0,169.75829,GOOD,10
241,0,169.03412,GOOD,10
242,0,168.3602,GOOD,10
243,0,167.34492,GOOD,10
244,0,167.501,GOOD,10
245,0,167.55049,GOOD,10
246,0,168.45781,GOOD,10
247,0,167.87088,GOOD,10
248,0,165.95087,GOOD,10
249,0,168.07782,GOOD,10
250,0,170.74564,GOOD,10
251,0,171.36583,GOOD,10
252,0,172.79553,GOOD,10
253,0,173.35703,GOOD,10
254,0,176.1559,GOOD,10
255,0,175.68774,GOOD,10
256,0,176.43127,GOOD,10
257,0,176.00635,GOOD,10
258,0,176.14636,GOOD,10
259,0,176.1203,GOOD,10
260,0,176.34929,GOOD,10
261,0,175.91206,GOOD,10
262,0,175.93697,GOOD,10
263,0,176.32254,GOOD,10
264,0,176.27054,GOOD,10
265,0,176.13217,GOOD,10
266,0,175.23122,GOOD,10
267,0,174.77638,GOOD,10
268,0,174.67322,GOOD,10
269,0,174.9326,GOOD,10
270,0,174.28745,GOOD,10
271,0,173.8913,GOOD,10
272,0,175.50127,GOOD,10
273,0,176.59332,GOOD,10
274,0,175.80226,GOOD,10
275,0,174.44557,GOOD,10
276,0,174.98198,GOOD,10
277,0,174.5453,GOOD,10
278,0,174.81433,GOOD,10
279,0,174.9263,GOOD,10
280,0,174.38075,GOOD,10
281,0,174.9974,GOOD,10
282,0,175.16481,GOOD,10
283,0,178.26909,GOOD,10
284,0,178.08054,GOOD,10
285,0,177.95508,GOOD,10
286,0,179.0623,GOOD,10
287,0,179.07028,GOOD,10
288,0,178.25166,GOOD,10
289,0,177.17215,GOOD,10
290,0,177.64384,GOOD,10
291,0,178.35825,GOOD,10
292,0,178.82878,GOOD,10
293,0,178.85106,GOOD,10
294,0,178.8467,GOOD,10
295,0,178.56975,GOOD,10
296,0,178.32355,GOOD,10
297,0,178.66121,GOOD,10
298,0,179.28987,GOOD,10
299,0,179.1241,GOOD,10
300,0,179.14053,GOOD,10
301,0,179.55147,GOOD,10
302,0,179.74736,GOOD,10
303,0,179.48544,GOOD,10
304,0,179.31206,GOOD,10
305,0,179.14896,GOOD,10
306,1,83.59393,RISK,6
307,1,159.37175,GOOD,9
308,1,177.50067,GOOD,10
309,1,179.29744,GOOD,10
310,2,15.309281,RISK,6
311,2,57.708847,RISK,6
312,2,6.122657,RISK,6
313,2,177.64963,GOOD,10
314,2,172.22588,GOOD,10
315,2,172.687,GOOD,10
316,2,171.79037,GOOD,10
317,2,172.23482,GOOD,10
318,2,171.78287,GOOD,10
319,2,168.84468,GOOD,10
320,2,172.32988,GOOD,10
321,2,178.65694,GOOD,10
322,2,173.8885,GOOD,10
323,3,1.5789348,RISK,6
324,3,177.1209,GOOD,10
325,4,14.633317,RISK,6
326,4,1.9483455,RISK,6
327,4,12.992242,RISK,6
328,4,14.559689,RISK,6
329,4,7.168597,RISK,6
330,4,1.5830466,RISK,6
331,4,0.21864118,RISK,6
332,4,3.539206,RISK,6
333,4,26.05345,RISK,6
334,4,65.03724,RISK,6
335,4,51.44522,RISK,6
336,4,112.06468,GOOD,9
337,4,10.65351,RISK,6
338,4,7.6848164,RISK,6
339,4,4.093025,RISK,6
340,4,153.27179,GOOD,9
341,4,152.17966,GOOD,9
342,4,8.486926,RISK,6
343,4,47.800175,RISK,6
344,4,89.05562,RISK,6
345,4,72.53466,RISK,6
346,4,103.7474,GOOD,9
347,4,50.830547,RISK,6
348,4,52.45822,RISK,6
349,4,55.678757,RISK,6
350,4,6.464658,RISK,6
351,4,5.979837,RISK,6
352,4,5.491991,RISK,6
353,4,3.04705,RISK,6
354,4,9.7667265,RISK,6
355,4,19.004837,RISK,6
356,4,106.05011,GOOD,9
357,4,16.485474,RISK,6
358,4,108.60254,GOOD,9
359,4,179.54224,GOOD,10
360,4,179.10544,GOOD,10
361,4,178.33638,GOOD,10
362,4,177.93549,GOOD,10
363,4,178.50087,GOOD,10
364,4,179.91846,GOOD,10
365,4,176.44722,GOOD,10
366,4,174.53433,GOOD,10
367,4,171.6041,GOOD,10
368,4,166.62355,GOOD,10
369,4,163.62495,GOOD,10
370,4,160.31456,GOOD,10
371,4,159.59868,GOOD,9
372,4,155.57022,GOOD,9
373,4,154.57755,GOOD,9
374,4,150.52191,GOOD,9
375,4,149.8724,GOOD,9
376,4,147.6246,GOOD,9
377,4,143.071,GOOD,9
378,4,145.58995,GOOD,9
379,4,148.46712,GOOD,9
380,4,143.50208,GOOD,9
381,4,141.90823,GOOD,9
382,4,147.00212,GOOD,9
383,4,153.9448,GOOD,9
384,4,138.75946,GOOD,9
385,4,133.75859,GOOD,9
386,4,130.5684,GOOD,9
387,4,131.1442,GOOD,9
388,4,122.99121,GOOD,9
389,4,127.33075,GOOD,9
390,4,120.308945,GOOD,9
391,4,120.607346,GOOD,9
392,4,120.77739,GOOD,9
393,4,133.08978,GOOD,9
394,4,132.37549,GOOD,9
395,4,139.71776,GOOD,9
